epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.0566,0.97058,2.39215,1.07735,0.97787,0.98188,0.99271,0.83103,0.66216,0.56682,0.93807,0.000195752,0.000195752,0.000195752
2,155.675,0.7731,0.94447,0.98185,0.97879,0.99069,0.99262,0.85633,0.58612,0.48092,0.89697,0.000383995,0.000383995,0.000383995
3,228.955,0.73932,0.6634,0.97056,0.98719,0.99574,0.99164,0.86586,0.56798,0.41714,0.89784,0.000564477,0.000564477,0.000564477
4,299.871,0.70049,0.5435,0.95642,0.99318,0.99497,0.99285,0.86723,0.57183,0.38057,0.90079,0.000553073,0.000553073,0.000553073
5,370.902,0.66367,0.48403,0.94448,0.9923,0.99523,0.99313,0.88888,0.49823,0.34541,0.88363,0.00054143,0.00054143,0.00054143
6,442.3,0.63186,0.44453,0.93323,0.9939,0.99872,0.99443,0.90101,0.47367,0.31774,0.85991,0.000529788,0.000529788,0.000529788
7,512.96,0.60236,0.41125,0.92245,0.99494,0.9998,0.99353,0.89877,0.46583,0.2993,0.86487,0.000518146,0.000518146,0.000518146
8,584.937,0.58582,0.39194,0.91809,0.99462,0.99932,0.99448,0.91485,0.43033,0.28294,0.85087,0.000506503,0.000506503,0.000506503
9,655.304,0.57333,0.38161,0.91018,0.99529,0.99938,0.99312,0.92016,0.41463,0.27685,0.84687,0.000494861,0.000494861,0.000494861
10,727.304,0.55657,0.36547,0.90559,0.99521,0.99933,0.99405,0.92656,0.40945,0.26035,0.84075,0.000483218,0.000483218,0.000483218
11,798.931,0.54801,0.35518,0.90301,0.99432,0.99959,0.99418,0.92577,0.40378,0.25783,0.83887,0.000471576,0.000471576,0.000471576
12,870.023,0.53375,0.34676,0.89966,0.9953,0.9999,0.99392,0.92742,0.39206,0.25,0.83368,0.000459934,0.000459934,0.000459934
13,941.145,0.52576,0.34017,0.89716,0.99592,0.99984,0.99366,0.93577,0.37758,0.24026,0.83051,0.000448291,0.000448291,0.000448291
14,1012.49,0.51948,0.32929,0.89439,0.99627,0.99962,0.99476,0.93773,0.36768,0.23889,0.82738,0.000436649,0.000436649,0.000436649
15,1084.84,0.51386,0.32577,0.89307,0.99614,0.99963,0.9943,0.93757,0.37502,0.23487,0.82955,0.000425006,0.000425006,0.000425006
16,1155.05,0.50265,0.31589,0.88582,0.99633,1,0.99355,0.9431,0.36047,0.22516,0.8218,0.000413364,0.000413364,0.000413364
17,1228.96,0.49725,0.31362,0.88503,0.99594,1,0.9933,0.94667,0.35301,0.22273,0.8162,0.000401722,0.000401722,0.000401722
18,1300.15,0.48865,0.30759,0.88192,0.99647,1,0.99378,0.94878,0.34583,0.21899,0.81691,0.000390079,0.000390079,0.000390079
19,1370.99,0.48042,0.30443,0.88175,0.99635,1,0.99414,0.95075,0.33964,0.21537,0.81592,0.000378437,0.000378437,0.000378437
20,1442.62,0.47812,0.29948,0.87963,0.99656,0.99991,0.9943,0.95237,0.33245,0.20945,0.81305,0.000366794,0.000366794,0.000366794
21,1515.46,0.47142,0.29506,0.87893,0.99642,0.99995,0.99286,0.95342,0.33026,0.20754,0.81183,0.000355152,0.000355152,0.000355152
22,1587.77,0.46429,0.29247,0.87562,0.9964,1,0.99417,0.95552,0.32329,0.20406,0.80945,0.00034351,0.00034351,0.00034351
23,1660.21,0.45882,0.28572,0.87084,0.9963,1,0.9936,0.95526,0.32188,0.20368,0.80892,0.000331867,0.000331867,0.000331867
24,1731.3,0.45579,0.28225,0.87347,0.99628,0.99996,0.99328,0.95662,0.31764,0.19911,0.80936,0.000320225,0.000320225,0.000320225
25,1802.18,0.45092,0.27778,0.87135,0.99648,0.99991,0.9943,0.95936,0.31359,0.19829,0.80583,0.000308582,0.000308582,0.000308582
26,1872.89,0.45012,0.27909,0.87011,0.9964,1,0.99438,0.96116,0.30529,0.19132,0.80043,0.00029694,0.00029694,0.00029694
27,1944.42,0.43959,0.26966,0.8685,0.99645,1,0.99471,0.96247,0.30371,0.19063,0.80287,0.000285298,0.000285298,0.000285298
28,2017.4,0.43368,0.26732,0.86274,0.9965,0.99993,0.99318,0.96174,0.30241,0.18891,0.79977,0.000273655,0.000273655,0.000273655
